SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
Architecture and Engineering (17-0000),Mechanical Engineers,Mechanical Engineers (17-2141),379.6989664,0.011,5
Architecture and Engineering (17-0000),"Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers (17-2151)",4.081063533,0.14,5
Architecture and Engineering (17-0000),Nuclear Engineers,Nuclear Engineers (17-2161),11.94271277,0.07,5
Architecture and Engineering (17-0000),Petroleum Engineers,Petroleum Engineers (17-2171),30.53694164,0.16,5
Architecture and Engineering (17-0000),Surveying and Mapping Technicians,Surveying and Mapping Technicians (17-3031),95.80640304,0.96,5
Architecture and Engineering (17-0000),Surveyors,Surveyors (17-1022),73.79109929,0.38,5
"Life, Physical, and Social Science (19-0000)",Agricultural and Food Science Technicians,Agricultural and Food Science Technicians (19-4011),16.33003328,0.97,6
"Life, Physical, and Social Science (19-0000)",Animal Scientists,Animal Scientists (19-1011),4.070046643,0.061,6
"Life, Physical, and Social Science (19-0000)",Anthropologists and Archeologists,Anthropologists and Archeologists (19-3091),11.65224632,0.0077,6
"Life, Physical, and Social Science (19-0000)",Astronomers,Astronomers (19-2011),1.542233167,0.041,6
"Life, Physical, and Social Science (19-0000)",Atmospheric and space scientists,Atmospheric and Space Scientists (19-2021),10.25696824,0.67,6
"Life, Physical, and Social Science (19-0000)",Biochemists and Biophysicists,Biochemists and Biophysicists (19-1021),10.33096418,0.027,6
"Life, Physical, and Social Science (19-0000)","Biological Scientists, All Other","Biological Scientists, All Other (19-1029)",72.91325747,0.015,6
"Life, Physical, and Social Science (19-0000)",Biological Technicians,Biological Technicians (19-4021),152.6189012,0.3,6
"Life, Physical, and Social Science (19-0000)",Chemical Technicians,Chemical Technicians (19-4031),75.11828396,0.57,6
"Life, Physical, and Social Science (19-0000)",Chemists,Chemists (19-2031),103.8845906,0.1,6
"Life, Physical, and Social Science (19-0000)","Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists (19-3031)",386.4372629,0.0047,6
"Life, Physical, and Social Science (19-0000)",Conservation Scientists,Conservation Scientists (19-1031),75.2467615,0.016,6
"Life, Physical, and Social Science (19-0000)",Economists,Economists (19-3011),24.82373906,0.43,6
"Life, Physical, and Social Science (19-0000)","Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health (19-4091)",73.29558645,0.77,6
"Life, Physical, and Social Science (19-0000)","Environmental Scientists and Specialists, Including Health","Environmental Scientists and Specialists, Including Health (19-2041)",169.7221476,0.033,6
"Life, Physical, and Social Science (19-0000)",Epidemiologists,Epidemiologists (19-1041),25.82614672,0.2,6
"Life, Physical, and Social Science (19-0000)",Food Scientists and Technologists,Food Scientists and Technologists (19-1012),11.13522215,0.077,6
"Life, Physical, and Social Science (19-0000)",Forensic Science Technicians,Forensic Science Technicians (19-4092),38.19917898,0.0095,6
"Life, Physical, and Social Science (19-0000)",Forest and Conservation Technicians,Forest and Conservation Technicians (19-4093),146.4333304,0.42,6
"Life, Physical, and Social Science (19-0000)",Foresters,Foresters (19-1032),34.25581359,0.0081,6
"Life, Physical, and Social Science (19-0000)",Geographers,Geographers (19-3092),3.259268176,0.25,6
"Life, Physical, and Social Science (19-0000)",Geological and Petroleum Technicians,Geological and Petroleum Technicians (19-4041),6.563287747,0.91,6
"Life, Physical, and Social Science (19-0000)","Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists and Geographers (19-2042)",40.90675975,0.63,6
"Life, Physical, and Social Science (19-0000)",Historians,Historians (19-3093),4.771965748,0.44,6
"Life, Physical, and Social Science (19-0000)",Hydrologists,Hydrologists (19-2043),22.52251533,0.014,6
"Life, Physical, and Social Science (19-0000)",Industrial-Organizational Psychologists,Industrial-Organizational Psychologists (19-3032),1.835704997,0.012,6
"Life, Physical, and Social Science (19-0000)","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other (19-4099)",122.4865329,0.61,6
"Life, Physical, and Social Science (19-0000)",Materials Scientists,Materials Scientists (19-2032),7.969013396,0.021,6
"Life, Physical, and Social Science (19-0000)","Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologists (19-1042)",274.1696451,0.0045,6
"Life, Physical, and Social Science (19-0000)",Microbiologists,Microbiologists (19-1022),21.04470012,0.012,6
"Life, Physical, and Social Science (19-0000)",Nuclear Technicians,Nuclear Technicians (19-4051),5.570640335,0.85,6
"Life, Physical, and Social Science (19-0000)","Physical Scientists, All Other","Physical Scientists, All Other (19-2099)",23.4545502,0.43,6
"Life, Physical, and Social Science (19-0000)",Physicists,Physicists (19-2012),21.29974043,0.1,6
"Life, Physical, and Social Science (19-0000)",Political Scientists,Political Scientists (19-3094),9.815839271,0.039,6
"Life, Physical, and Social Science (19-0000)","Psychologists, All Other","Psychologists, All Other (19-3039)",51.97092608,0.0043,6
"Life, Physical, and Social Science (19-0000)",Social Science Research Assistants,Social Science Research Assistants (19-4061),20.55320764,0.65,6
"Life, Physical, and Social Science (19-0000)","Social Scientists and Related Workers, All Other","Social Scientists and Related Workers, All Other (19-3099)",65.87778582,0.04,6
"Life, Physical, and Social Science (19-0000)",Sociologists,Sociologists (19-3041),4.211373268,0.059,6
